Nation,2021,2022,2023,2024
Fiji,0.981300510606828,1.060660131337678,1.0300463993115447,1.0251872988968733
Finland,1.0211089640520195,0.9989222427741353,1.043440165669667,1.001350533707747
France,1.0627162963434436,0.887829875233659,1.0435010219063905,1.04711668647927
French Guiana,1.036657367697897,1.0370909113750448,1.0677527145416656,1.0244523967324726
French Polynesia,0.981300510606828,1.060660131337678,1.0300463993115447,1.0251872988968733
Gabon,1.1280474807867018,1.0540034347050597,1.0247767993630332,1.014306764622357
Gambia,1.1656933139615377,1.0045731970197156,0.981714209590687,1.052052019120137
Georgia,1.0265433782738647,1.0122718203955547,0.9910880553985789,1.029748282365243
Germany,1.0284594835039205,0.9602493099499989,0.919963030490118,1.0052078538691007
Ghana,1.1656933139615377,1.0045731970197156,0.981714209590687,1.052052019120137
Greece,1.0923615413436398,1.0389971225202244,0.9731587710776984,1.0499830018757315
Greenland,1.0621542667428627,0.9860482988208891,1.0395543155027918,0.9810538914543802
Grenada,1.0229075834145411,1.0077351665806558,1.0190630231269069,1.0481534516727735
Guadeloupe,1.0229075834145411,1.0077351665806558,1.0190630231269069,1.0481534516727735
Guatemala,1.119415282746045,1.0335728823176769,1.0260562562784088,1.0310372090881412
Guinea,1.1656933139615377,1.0045731970197156,0.981714209590687,1.052052019120137
Guinea Bissau,1.1656933139615377,1.0045731970197156,0.981714209590687,1.052052019120137
Guyana,1.036657367697897,1.0370909113750448,1.0677527145416656,1.0244523967324726
Haiti,1.0229075834145411,1.0077351665806558,1.0190630231269069,1.0481534516727735
Honduras,1.119415282746045,1.0335728823176769,1.0260562562784088,1.0310372090881412
